사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-22,2호선,240,신촌,72,2,7725,2868,14707,14371,35123,35128,52050,76979,34014,86023,34272,56666,39818,53697,51555,60053,53882,67306,55722,58532,63361,55003,74502,58088,87648,75371,86527,101640,59115,65759,62637,37944,66258,33415,66054,29654,31109,22396,3903,4792,2,33,0,0,0,0
Jun-22,2호선,241,이대,51,0,3560,1120,8665,7857,24368,12642,32791,36128,19430,30812,14948,23092,16706,20270,22199,22576,22725,24386,21345,20981,24840,20777,28052,22445,36206,27378,32206,37985,20605,27478,17644,17498,16036,17456,14197,17807,5113,14077,545,2806,0,17,0,1,0,0
Jun-22,2호선,242,아현,36,2,4444,1020,11206,7385,27565,12815,38268,21962,22582,12086,16051,10314,15060,9756,16328,11385,15710,12427,13728,13260,15705,14607,23086,16726,19591,21735,19039,30860,11634,23096,8641,15463,6862,15353,5254,14527,2012,9418,223,1994,1,6,0,1,0,0
Jun-22,2호선,243,충정로(경기대입구),28,1,3004,1099,6629,6881,15407,22086,21502,57268,13594,26367,10205,12458,10931,10169,11257,10664,11685,11990,12318,10994,13789,10765,17192,12212,26399,15155,44966,20638,13935,14152,9359,9177,9135,9581,6946,9091,3149,6297,510,1490,0,33,0,0,0,0
Jun-22,2호선,244,용답,7,2,2462,220,3339,1251,7914,1795,12471,3675,6877,4115,4639,2927,4126,2878,4717,3242,4368,3881,4034,3304,4481,4025,5095,5506,5047,6212,3962,10249,2486,6857,1726,4630,1266,5372,1267,5209,476,3607,66,737,0,2,0,0,0,0
Jun-22,2호선,245,신답,6,0,1018,131,1944,495,6542,1060,10585,1537,4809,1089,2484,1074,2057,1221,1996,1309,1959,1480,1718,1821,1695,2453,1774,3395,2110,4477,2223,9319,1142,6565,643,3369,525,3635,482,3152,186,2496,20,513,0,3,0,0,0,0
Jun-22,2호선,246,신설동,35,2,1245,291,1425,1690,4228,4990,7541,13050,4625,8389,4207,7746,5195,6967,6519,6693,7483,6970,7534,6011,7989,5397,8527,4927,10490,5311,13910,6436,4726,4737,2810,2978,2395,2856,1716,2761,731,2127,67,683,0,115,0,1,0,0
Jun-22,2호선,247,도림천,1,0,349,396,1184,909,3193,4215,3630,5680,1919,2337,1802,1437,1718,1278,2322,1922,1719,1620,2074,1655,2374,1482,3542,1813,2846,2216,3405,2943,1735,2406,906,1583,799,1420,454,1006,152,812,37,228,0,4,0,0,0,0
Jun-22,2호선,248,양천구청,14,0,4991,965,11210,2146,32090,5306,30206,10146,17385,4936,11605,4549,10234,5123,10496,6506,9368,7385,8292,8396,7272,10603,8255,12804,9140,17772,9106,27016,4197,23235,3021,13302,2488,13045,2054,11440,697,8800,87,2340,0,36,0,0,0,0
Jun-22,2호선,249,신정네거리,35,2,8343,925,17730,2870,49044,5187,44811,11716,24492,8251,17534,7279,15349,8536,15682,10007,14055,11539,12178,12446,11734,16460,12338,20120,12661,28831,11718,44063,7165,35452,5511,20000,4434,18280,3561,16765,1319,11651,174,2668,0,147,0,0,0,0
Jun-22,2호선,250,용두(동대문구청),41,2,1161,174,1649,1067,4983,2454,8889,5612,4538,3403,3652,3004,3667,3190,3818,3069,3746,3491,3810,3711,3890,4120,4336,3947,4470,4446,5299,7458,2493,5376,1520,2717,1436,2834,741,2386,278,1668,55,451,0,9,0,0,0,0
