날짜,여성_60대이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2022-01-10,48,20,39,53,19,22,32,39,87,68,14,24
2022-01-11,21,21,46,51,15,42,20,55,87,71,14,19
2022-01-12,41,20,30,47,13,13,22,51,67,58,15,28
2022-01-13,38,17,28,72,12,29,40,31,81,65,14,17
2022-01-14,17,22,27,41,14,11,36,32,81,56,11,31
2022-01-15,21,14,20,46,8,9,24,32,35,35,10,36
2022-01-16,7,15,19,30,11,13,12,49,48,37,9,31
2022-01-17,3,13,35,53,17,13,12,48,71,48,16,41
2022-01-18,17,32,43,51,17,5,28,69,60,55,10,22
2022-01-19,17,17,22,55,13,2,26,36,50,56,17,26
2022-01-20,10,21,31,53,10,16,24,37,69,54,12,30
2022-01-21,28,17,26,47,14,5,34,49,57,44,13,12
2022-01-22,62,12,28,39,9,7,28,17,37,36,6,21
2022-01-23,7,48,17,30,12,7,26,48,46,38,10,30
2022-01-24,3,22,36,53,12,22,24,42,63,56,11,18
2022-01-25,38,17,39,40,14,15,20,36,60,60,11,24
2022-01-26,10,14,29,30,15,18,14,42,49,52,9,30
2022-01-27,100,22,26,38,10,25,26,50,69,47,12,21
2022-01-28,3,16,20,44,10,2,38,31,43,37,9,13
2022-01-29,31,10,14,27,7,11,6,31,38,23,6,10
2022-01-30,17,14,10,42,8,9,16,25,30,26,5,5
2022-01-31,7,17,10,17,5,9,10,27,26,41,6,21
2022-02-01,21,21,14,26,7,20,38,35,32,31,5,5
2022-02-02,14,26,20,34,7,13,18,51,42,31,12,13
2022-02-03,14,21,32,47,13,5,12,40,54,56,13,14
2022-02-04,17,22,24,59,15,4,24,54,60,50,13,13
2022-02-05,31,10,17,34,9,5,34,39,58,30,9,17
2022-02-06,3,14,19,42,7,15,32,46,50,44,10,24
2022-02-07,31,21,38,45,16,25,44,36,68,53,12,7
2022-02-08,28,14,24,55,15,16,34,55,67,71,11,19
2022-02-09,24,33,27,58,13,9,10,55,75,65,14,10
2022-02-10,7,29,29,48,13,38,26,44,56,67,11,17
2022-02-11,34,17,31,63,10,11,48,48,63,58,10,10
2022-02-12,3,16,22,31,11,9,42,46,39,37,7,15
2022-02-13,3,11,29,45,9,9,56,37,43,42,11,15
2022-02-14,7,22,37,45,12,16,30,35,62,45,13,32
2022-02-15,34,34,34,50,15,18,10,39,59,65,14,23
2022-02-16,28,23,39,45,15,15,34,53,64,60,16,52
2022-02-17,28,23,30,46,10,7,34,31,54,66,13,13
2022-02-18,34,23,32,37,13,27,50,44,60,39,13,7
2022-02-19,10,20,24,26,9,13,62,21,55,40,8,13
2022-02-20,14,23,26,47,11,11,14,52,52,51,10,15
