날짜,생활취미레저_남성_10대,생활취미레저_남성_20대,생활취미레저_남성_30대,생활취미레저_남성_40대,생활취미레저_남성_50대,생활취미레저_남성_60대,생활취미레저_여성_10대,생활취미레저_여성_20대,생활취미레저_여성_30대,생활취미레저_여성_40대,생활취미레저_여성_50대,생활취미레저_여성_60대
2022-03-19,40,38,58,70,61,38,87,29,57,51,51,40
2022-03-20,50,36,74,74,68,40,82,30,59,55,58,26
2022-03-21,61,50,76,74,57,66,48,40,65,61,53,32
2022-03-22,39,47,73,73,74,31,74,41,71,51,71,40
2022-03-23,64,43,77,67,61,48,63,30,64,52,59,31
2022-03-24,49,35,54,73,59,39,69,32,57,55,83,38
2022-03-25,79,31,53,73,57,45,97,27,54,54,51,35
2022-03-26,37,22,51,60,54,53,69,18,56,54,67,32
2022-03-27,43,34,57,72,48,52,48,23,47,47,60,37
2022-03-28,58,38,69,72,59,38,39,30,62,55,55,45
2022-03-29,58,34,67,70,61,43,38,29,63,54,50,46
2022-03-30,62,42,77,87,51,58,62,30,70,69,88,38
2022-03-31,55,33,93,80,70,74,88,36,74,69,74,40
2022-04-01,45,31,68,62,66,44,60,22,58,54,57,24
2022-04-02,36,25,39,53,52,53,53,24,49,45,44,32
2022-04-03,45,22,61,60,48,51,33,22,52,47,54,26
2022-04-04,51,53,71,58,48,42,44,32,58,46,61,43
2022-04-05,18,39,68,70,46,53,63,31,56,44,53,31
2022-04-06,44,34,64,64,54,70,73,33,60,46,58,41
2022-04-07,29,30,55,49,56,44,45,24,48,49,50,22
2022-04-08,39,32,63,71,48,44,76,22,38,46,58,47
2022-04-09,15,30,57,43,46,34,43,21,39,40,52,33
2022-04-10,42,30,47,47,46,27,55,26,42,45,38,20
2022-04-11,43,33,71,77,46,42,44,27,48,45,53,25
2022-04-12,43,39,63,65,59,62,44,26,54,50,50,31
2022-04-13,51,38,73,64,54,43,54,27,59,51,61,34
2022-04-14,26,40,67,62,56,56,19,23,58,57,85,26
2022-04-15,50,29,51,54,41,48,42,24,45,43,54,29
2022-04-16,39,24,42,48,48,52,28,19,44,38,55,31
2022-04-17,52,34,54,60,38,68,34,25,44,39,39,18
2022-04-18,67,33,54,64,56,52,47,26,56,42,48,35
2022-04-19,20,34,52,53,53,66,23,26,50,42,45,31
2022-04-20,24,29,61,43,33,44,31,22,55,48,42,32
2022-04-21,32,26,63,65,71,57,33,20,45,53,55,40
2022-04-22,35,21,52,57,37,48,50,19,40,55,42,38
2022-04-23,33,28,39,45,36,66,30,15,46,37,42,29
2022-04-24,37,23,49,43,48,39,24,18,40,45,44,23
2022-04-25,39,23,63,70,39,36,29,21,44,49,46,26
2022-04-26,29,29,72,72,45,51,43,23,61,56,61,38
2022-04-27,25,27,77,79,71,32,40,23,55,58,59,20
2022-04-28,20,25,65,56,38,51,37,23,58,51,52,42
2022-04-29,43,25,48,64,48,53,38,20,51,51,52,28
2022-04-30,37,28,43,54,54,77,31,16,48,47,35,32
2022-05-01,32,30,53,58,54,35,56,22,50,53,40,37
2022-05-02,33,33,79,65,59,68,44,24,55,55,53,23
2022-05-03,42,29,51,58,55,69,37,21,49,46,49,41
2022-05-04,32,24,50,49,54,52,44,18,53,48,59,32
2022-05-05,26,26,47,54,51,60,51,19,42,37,50,54
2022-05-06,26,25,41,49,44,62,60,20,50,35,53,31
2022-05-07,32,21,50,46,34,61,37,18,41,35,43,32
2022-05-08,35,31,66,56,45,56,51,19,46,36,58,53
2022-05-09,32,40,65,67,43,40,42,22,56,43,41,31
2022-05-10,48,37,69,56,55,45,49,20,55,43,56,29
2022-05-11,46,32,61,62,66,60,19,28,54,48,50,50
2022-05-12,49,28,54,52,64,52,44,19,42,44,56,29
2022-05-13,27,22,52,39,43,43,50,17,43,38,53,44
2022-05-14,43,25,46,38,50,42,33,17,44,35,45,26
2022-05-15,11,21,57,55,46,38,66,19,45,42,44,36
2022-05-16,42,32,76,45,60,21,40,18,52,35,50,44
2022-05-17,48,38,71,62,46,47,37,20,53,44,57,49
2022-05-18,39,26,70,57,59,45,51,21,48,41,56,35
2022-05-19,24,20,56,54,47,43,40,21,45,39,40,41
2022-05-20,32,18,55,55,49,39,20,15,39,37,39,17
2022-05-21,33,21,43,49,45,21,49,14,38,34,45,12
2022-05-22,42,28,47,54,43,26,44,15,34,37,46,26
2022-05-23,31,31,61,50,39,56,28,15,45,39,36,39
2022-05-24,37,26,58,48,54,29,31,17,41,46,38,31
2022-05-25,36,30,60,57,68,61,41,14,46,42,44,34
2022-05-26,21,32,45,56,59,51,44,17,40,42,37,26
2022-05-27,32,18,46,43,51,32,29,17,39,31,45,25
2022-05-28,20,20,43,45,60,25,24,13,41,35,34,33
2022-05-29,30,25,42,52,41,36,37,13,43,36,42,28
2022-05-30,32,26,51,55,51,48,36,21,43,44,48,44
2022-05-31,18,26,48,54,41,40,22,18,44,40,41,34
2022-06-01,32,23,40,50,58,26,45,19,42,42,50,35
2022-06-02,39,23,50,48,59,30,34,23,43,45,41,29
2022-06-03,18,31,47,46,45,40,31,15,41,46,56,29
2022-06-04,27,15,72,58,29,29,41,14,42,37,36,22
2022-06-05,19,21,52,40,38,34,48,17,40,36,42,29
2022-06-06,24,30,47,61,49,51,44,15,47,41,43,38
2022-06-07,18,34,74,48,47,34,45,24,49,42,41,60
2022-06-08,37,26,57,55,43,45,42,22,51,45,42,37
2022-06-09,15,29,60,55,29,99,19,18,60,42,37,24
2022-06-10,24,23,44,43,44,48,33,16,42,37,48,27
2022-06-11,32,21,45,46,41,49,47,15,33,42,40,32
2022-06-12,19,25,42,50,46,64,44,18,53,42,49,38
2022-06-13,45,29,59,54,62,43,32,16,54,44,46,34
2022-06-14,27,24,51,53,51,42,27,21,42,44,50,38
2022-06-15,32,29,54,60,51,35,18,14,61,48,50,35
2022-06-16,100,31,59,64,57,57,38,19,46,43,47,35
2022-06-17,31,22,59,53,56,71,38,22,48,55,63,32
2022-06-18,25,19,51,59,57,56,36,17,44,42,64,38
2022-06-19,29,31,80,56,62,60,57,21,47,52,56,35
2022-06-20,38,25,79,74,71,78,45,24,52,63,58,62
2022-06-21,25,27,71,64,59,66,47,20,54,41,59,41
2022-06-22,37,33,66,66,55,47,24,18,56,51,69,56
2022-06-23,31,23,65,49,60,57,27,21,51,48,66,34
2022-06-24,39,32,50,52,54,39,27,17,47,40,55,37
2022-06-25,29,20,57,64,56,66,26,17,40,45,49,42
2022-06-26,30,27,58,68,59,57,48,18,54,54,49,36
2022-06-27,56,27,63,72,47,81,44,20,52,50,68,34
2022-06-28,54,36,62,63,50,74,22,21,63,58,53,49
2022-06-29,23,19,60,65,61,42,24,26,49,50,54,37
2022-06-30,17,26,57,61,34,45,45,17,45,53,63,47
2022-07-01,48,20,47,50,51,38,26,21,44,37,49,28
2022-07-02,40,24,46,55,51,52,25,13,42,42,59,31
2022-07-03,31,20,59,64,53,40,40,21,44,46,53,37
2022-07-04,29,24,74,70,55,43,46,21,50,42,49,38
2022-07-05,31,25,57,56,38,64,60,15,47,53,52,25
2022-07-06,18,23,52,60,56,69,69,17,48,49,54,59
2022-07-07,55,24,51,50,53,48,44,14,48,41,43,38
2022-07-08,46,16,25,21,37,35,44,6,21,24,22,5
2022-07-09,7,3,4,2,3,1,5,1,2,4,3,0
