날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2022-05-26,32,14,30,35,43,55,14,13,26,37,40,35
2022-05-27,29,20,34,31,39,34,15,12,24,36,30,43
2022-05-28,28,15,32,31,36,35,16,13,23,32,24,45
2022-05-29,30,19,34,43,42,18,22,13,29,30,33,28
2022-05-30,29,19,37,42,46,69,17,15,27,36,39,39
2022-05-31,27,20,30,41,40,48,13,13,32,38,37,55
2022-06-01,36,18,30,42,36,46,18,16,33,36,45,36
2022-06-02,30,16,31,35,30,34,14,17,27,36,35,35
2022-06-03,26,17,33,35,32,45,15,14,27,32,41,35
2022-06-04,33,22,37,44,38,55,17,12,27,31,33,40
2022-06-05,40,18,43,41,38,44,17,17,31,37,44,32
2022-06-06,38,20,38,50,43,40,19,14,32,33,32,56
2022-06-07,31,15,43,39,34,48,17,15,32,32,36,43
2022-06-08,26,19,41,28,33,24,13,13,25,33,33,45
2022-06-09,22,15,31,26,23,32,12,12,22,29,23,19
2022-06-10,28,14,23,26,36,64,12,12,22,26,23,20
2022-06-11,22,15,22,31,30,29,13,12,19,27,21,24
2022-06-12,44,21,35,36,30,26,18,15,27,33,29,31
2022-06-13,36,18,28,29,34,35,14,15,29,34,26,26
2022-06-14,18,21,32,42,34,44,13,13,23,29,27,29
2022-06-15,28,13,26,33,28,55,15,14,26,27,26,48
2022-06-16,18,16,32,33,22,32,14,12,21,30,28,31
2022-06-17,25,19,21,29,28,54,14,9,20,21,22,13
2022-06-18,21,15,24,29,16,52,13,11,22,23,20,27
2022-06-19,27,15,34,36,26,61,18,13,23,25,32,31
2022-06-20,28,15,37,30,23,40,13,14,21,29,22,18
2022-06-21,33,17,37,31,25,29,12,14,23,27,27,28
2022-06-22,22,17,20,20,32,45,15,13,21,26,22,17
2022-06-23,23,12,21,29,26,41,11,12,23,24,25,13
2022-06-24,21,12,25,31,32,33,12,12,19,25,28,17
2022-06-25,31,23,24,30,19,31,13,10,21,28,17,20
2022-06-26,25,13,29,37,28,33,17,11,19,28,20,22
2022-06-27,27,20,28,37,32,42,15,13,22,29,21,17
2022-06-28,20,20,27,30,34,40,11,13,25,29,22,22
2022-06-29,24,13,39,36,19,56,12,11,23,31,21,27
2022-06-30,20,13,23,30,21,25,12,14,18,28,20,20
2022-07-01,19,17,24,31,30,26,11,12,23,27,23,13
2022-07-02,32,13,23,25,27,60,15,10,18,27,34,22
2022-07-03,29,15,23,32,26,32,18,16,20,29,32,20
2022-07-04,29,14,37,35,32,24,18,12,23,26,23,27
2022-07-05,29,23,33,34,32,47,20,14,22,31,25,17
2022-07-06,34,17,30,34,34,19,22,12,21,24,24,30
2022-07-07,45,19,29,29,30,32,23,11,18,30,29,17
2022-07-08,25,11,15,17,17,28,11,7,10,13,14,6
2022-07-09,3,2,2,3,3,5,1,1,2,3,2,5
