날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2022-03-06,17,48,79,75,54,26,69,38,57,68,28,57
2022-03-07,31,93,90,88,89,42,83,73,79,68,40,59
2022-03-08,66,62,74,81,59,25,14,60,91,80,37,61
2022-03-09,7,49,59,65,66,21,21,33,61,68,37,58
2022-03-10,48,56,65,63,38,9,62,43,76,82,36,53
2022-03-11,97,45,48,53,60,21,34,31,75,77,47,42
2022-03-12,3,27,59,84,50,40,24,19,49,54,28,69
2022-03-13,10,34,72,64,64,47,28,24,63,68,55,69
2022-03-14,48,39,70,81,49,47,34,35,83,70,26,62
2022-03-15,28,43,38,68,55,44,34,36,72,73,28,55
2022-03-16,24,43,69,88,33,54,24,28,72,66,38,61
2022-03-17,38,31,53,57,51,33,48,24,71,73,24,66
2022-03-18,55,28,44,62,56,53,21,21,66,71,47,48
2022-03-19,28,23,43,60,68,16,28,16,49,51,31,36
2022-03-20,31,23,71,56,69,25,31,16,68,65,28,51
2022-03-21,52,35,77,64,54,49,38,24,73,62,21,43
2022-03-22,34,34,81,72,55,30,55,22,69,67,40,50
2022-03-23,34,26,85,63,36,42,69,19,79,60,38,40
2022-03-24,45,27,56,67,59,32,17,19,66,66,42,47
2022-03-25,55,24,58,58,56,25,90,18,53,59,19,49
2022-03-26,14,10,51,38,43,28,34,10,56,62,15,51
2022-03-27,17,19,35,74,48,40,31,12,50,65,31,57
2022-03-28,48,23,65,63,33,28,38,15,69,65,55,54
2022-03-29,48,22,50,68,33,25,28,14,77,77,29,45
2022-03-30,48,27,52,70,33,33,48,18,63,56,32,52
2022-03-31,28,22,88,73,43,61,52,16,50,57,37,43
2022-04-01,69,22,75,55,33,46,38,12,61,64,17,40
2022-04-02,17,21,41,54,44,35,14,13,46,42,29,40
2022-04-03,28,14,49,54,31,44,21,11,44,44,27,37
2022-04-04,48,29,70,55,38,25,24,17,51,40,27,40
2022-04-05,17,29,56,57,45,40,41,17,56,54,22,40
2022-04-06,45,18,68,61,41,74,72,19,68,49,45,40
2022-04-07,31,21,45,40,36,30,31,14,49,45,14,37
2022-04-08,45,19,47,56,48,18,52,13,38,40,47,39
2022-04-09,24,16,51,26,29,19,7,12,24,50,29,44
2022-04-10,7,19,50,45,21,25,24,11,47,49,19,28
2022-04-11,17,17,69,60,38,33,24,15,51,55,23,48
2022-04-12,28,26,60,59,60,53,55,15,74,67,14,42
2022-04-13,28,23,68,76,56,25,52,16,53,53,32,41
2022-04-14,21,28,56,43,45,30,21,13,51,51,31,83
2022-04-15,48,20,58,47,26,30,31,12,38,52,22,49
2022-04-16,17,14,40,43,36,60,3,10,28,54,28,48
2022-04-17,21,20,47,61,33,75,17,12,40,41,17,36
2022-04-18,45,17,49,60,50,25,52,17,60,53,24,48
2022-04-19,24,24,48,49,33,60,14,12,51,50,29,49
2022-04-20,28,15,65,47,30,39,31,10,56,58,22,36
2022-04-21,38,18,60,51,78,54,38,11,49,51,46,57
2022-04-22,14,12,43,38,29,40,69,9,41,59,32,38
2022-04-23,10,19,26,43,25,47,10,6,34,41,5,28
2022-04-24,38,15,41,39,30,37,17,7,43,51,10,41
2022-04-25,17,15,68,65,40,18,10,8,36,43,27,25
2022-04-26,14,21,71,64,43,25,28,9,61,50,47,52
2022-04-27,14,20,71,71,50,26,31,11,51,52,21,51
2022-04-28,24,11,55,37,38,33,3,12,49,63,26,45
2022-04-29,21,12,39,47,36,26,21,6,46,54,18,34
2022-04-30,14,17,42,40,25,47,10,7,47,45,19,27
2022-05-01,3,16,49,37,30,18,31,9,34,44,32,32
2022-05-02,45,19,62,58,45,51,34,12,45,60,31,43
2022-05-03,24,16,55,70,55,56,45,10,47,43,67,55
2022-05-04,24,16,40,39,40,35,0,9,57,55,19,55
2022-05-05,21,12,41,51,50,35,14,10,40,43,49,49
2022-05-06,21,13,38,57,20,40,31,7,54,45,28,35
2022-05-07,24,9,36,50,26,46,41,7,33,38,38,43
2022-05-08,14,13,44,54,44,53,38,9,40,63,45,48
2022-05-09,31,21,66,60,29,30,45,10,47,57,28,46
2022-05-10,69,26,62,53,49,40,59,10,58,56,27,45
2022-05-11,55,25,56,64,66,26,17,13,61,59,36,53
2022-05-12,45,19,51,52,50,40,52,9,42,63,27,60
2022-05-13,34,13,49,37,45,40,62,9,42,54,56,34
2022-05-14,24,16,40,38,59,26,41,7,37,41,22,40
2022-05-15,0,14,50,45,34,42,79,7,34,57,26,45
2022-05-16,28,23,56,43,51,14,34,9,39,39,32,49
2022-05-17,79,22,64,45,48,16,41,7,53,62,28,23
2022-05-18,52,16,60,53,56,28,66,7,41,50,12,48
2022-05-19,24,12,46,45,41,39,24,9,38,53,29,27
2022-05-20,17,14,49,67,44,9,45,7,41,37,6,26
2022-05-21,21,10,27,40,40,12,38,6,35,39,6,29
2022-05-22,41,14,46,50,35,21,28,6,37,50,29,41
2022-05-23,24,22,52,62,38,26,55,7,50,60,58,43
2022-05-24,34,20,52,57,44,18,41,9,45,65,36,40
2022-05-25,45,19,69,57,68,37,24,7,37,53,29,43
2022-05-26,31,24,39,50,59,39,24,7,41,56,24,44
2022-05-27,38,14,40,43,25,26,45,8,49,44,19,41
2022-05-28,10,13,41,43,46,14,34,4,34,52,26,33
2022-05-29,31,22,43,45,20,19,55,7,43,47,28,56
2022-05-30,34,19,45,39,46,37,48,9,42,58,50,42
2022-05-31,21,18,48,49,26,16,41,10,53,48,23,44
2022-06-01,10,13,38,43,56,14,59,8,38,48,22,40
2022-06-02,34,15,51,39,53,23,38,12,38,60,27,30
2022-06-03,28,21,48,28,46,28,38,7,41,61,24,46
2022-06-04,28,12,61,69,23,25,3,6,33,49,33,28
2022-06-05,24,13,51,24,34,26,24,9,37,47,35,30
2022-06-06,21,18,46,57,53,39,34,6,43,44,51,41
2022-06-07,3,25,61,50,45,28,24,14,60,54,27,39
2022-06-08,38,17,50,57,44,23,28,9,51,65,24,46
2022-06-09,17,18,63,50,33,86,17,7,67,44,26,36
