날짜,경제_경영_남성_10대,경제_경영_남성_20대,경제_경영_남성_30대,경제_경영_남성_40대,경제_경영_남성_50대,경제_경영_남성_60대이상,경제_경영_여성_10대,경제_경영_여성_20대,경제_경영_여성_30대,경제_경영_여성_40대,경제_경영_여성_50대,경제_경영_여성_60대이상
2022-02-05,23,24,38,60,74,76,33,12,38,40,28,26
2022-02-06,34,25,61,66,88,69,49,10,51,43,33,19
2022-02-07,27,26,57,61,76,63,51,14,49,43,27,25
2022-02-08,14,24,59,57,63,67,29,11,41,41,24,20
2022-02-09,18,27,54,52,71,64,18,16,48,45,30,19
2022-02-10,15,22,48,53,60,34,25,13,48,41,30,21
2022-02-11,32,24,62,60,49,55,35,12,46,60,38,32
2022-02-12,30,38,100,100,100,92,31,25,100,100,100,100
2022-02-13,21,24,49,61,47,30,16,11,40,49,26,26
2022-02-14,42,28,50,72,61,43,29,12,44,38,27,24
2022-02-15,14,25,58,53,49,61,27,12,50,36,23,11
2022-02-16,14,17,42,59,63,40,14,17,46,41,34,26
2022-02-17,17,17,42,47,41,58,10,12,33,43,24,31
2022-02-18,18,13,45,48,49,50,25,9,41,39,28,26
2022-02-19,18,37,76,83,90,100,49,20,81,91,93,73
2022-02-20,17,23,49,59,69,73,8,15,40,38,29,13
2022-02-21,38,23,51,62,45,55,31,21,47,41,28,19
2022-02-22,34,24,45,50,57,53,16,14,44,37,28,20
2022-02-23,18,22,45,56,57,46,24,15,34,39,27,18
2022-02-24,17,20,38,39,64,43,16,16,32,30,24,8
2022-02-25,14,21,35,41,54,36,22,14,35,33,19,26
2022-02-26,15,20,26,39,38,68,41,11,27,33,26,12
2022-02-27,25,22,48,41,37,43,14,14,34,33,23,20
2022-02-28,7,33,39,47,44,37,18,22,34,26,21,18
2022-03-01,37,33,52,45,53,36,47,25,40,31,34,24
2022-03-02,37,85,43,45,71,48,67,72,44,41,24,14
2022-03-03,34,100,41,50,59,34,90,100,44,41,30,14
2022-03-04,32,76,40,48,68,23,67,73,32,39,36,9
2022-03-05,23,46,34,46,44,33,59,52,35,38,31,17
2022-03-06,20,58,39,51,71,33,43,49,33,36,25,19
2022-03-07,38,88,39,44,69,67,45,89,42,37,31,25
2022-03-08,30,74,38,42,55,50,61,86,41,39,26,9
2022-03-09,35,43,34,42,53,31,53,45,32,31,30,16
2022-03-10,42,67,41,47,59,37,76,56,38,30,24,23
2022-03-11,32,44,37,42,44,54,61,39,42,33,25,18
2022-03-12,24,36,37,38,45,44,33,24,27,32,21,14
2022-03-13,20,37,48,50,78,50,39,27,32,37,25,19
2022-03-14,45,48,41,51,57,55,43,37,32,40,26,16
2022-03-15,37,48,47,46,57,42,49,34,33,36,19,11
2022-03-16,39,41,37,41,43,36,33,31,36,29,21,15
2022-03-17,100,35,38,45,49,52,71,22,34,36,24,15
2022-03-18,32,25,32,38,43,47,65,20,26,32,24,15
2022-03-19,23,22,37,46,37,45,39,15,37,25,17,22
2022-03-20,27,24,39,38,45,54,33,16,30,34,21,29
2022-03-21,41,27,33,48,61,55,33,17,40,36,19,27
2022-03-22,62,30,55,44,44,44,47,19,50,36,26,23
2022-03-23,58,36,56,49,43,36,39,21,42,39,26,10
2022-03-24,37,27,47,50,44,25,18,20,42,33,26,15
2022-03-25,37,26,36,45,41,35,80,19,27,34,22,14
2022-03-26,17,20,34,37,41,45,25,10,27,27,19,16
2022-03-27,31,29,44,46,55,39,78,12,38,33,23,12
2022-03-28,49,32,44,50,43,48,41,19,36,33,17,9
2022-03-29,25,30,51,42,49,29,39,18,40,35,24,16
2022-03-30,76,25,44,51,43,36,69,16,41,38,24,17
2022-03-31,32,26,48,48,43,36,43,14,41,33,23,11
2022-04-01,31,26,44,44,56,36,59,12,31,36,24,19
2022-04-02,13,16,37,47,41,37,16,10,28,23,18,12
2022-04-03,21,25,37,45,51,36,61,13,31,29,18,18
2022-04-04,44,25,44,41,44,32,45,17,39,38,18,12
2022-04-05,25,33,43,60,37,29,25,18,34,35,26,13
2022-04-06,28,30,40,48,42,33,63,17,39,31,25,10
2022-04-07,45,23,40,46,43,32,29,15,32,28,18,10
2022-04-08,41,20,37,36,30,24,51,13,27,31,15,20
2022-04-09,18,19,25,32,40,34,33,9,23,20,19,10
2022-04-10,15,15,32,30,26,37,39,13,24,25,16,12
2022-04-11,38,29,41,36,34,22,33,18,38,23,17,9
2022-04-12,24,19,32,37,36,27,37,12,31,26,21,8
2022-04-13,52,29,43,45,31,39,49,18,36,30,23,6
2022-04-14,25,22,40,40,34,40,43,13,31,34,22,14
2022-04-15,32,23,39,42,39,20,31,14,32,29,17,6
2022-04-16,13,18,34,29,28,45,16,9,23,22,14,10
2022-04-17,21,20,40,33,27,23,10,10,26,30,15,10
2022-04-18,18,24,44,42,33,30,25,15,34,27,16,13
2022-04-19,55,23,49,42,42,32,22,13,33,35,20,7
2022-04-20,27,21,43,56,44,27,27,13,41,40,23,11
2022-04-21,28,15,44,45,44,29,37,12,36,37,24,15
2022-04-22,34,15,30,38,27,23,18,7,24,27,14,11
2022-04-23,30,15,25,28,41,41,10,8,25,20,14,12
2022-04-24,18,28,35,51,36,21,29,9,25,24,18,8
2022-04-25,14,22,40,39,37,26,6,12,26,28,14,9
2022-04-26,17,22,40,39,41,33,12,10,25,23,14,11
2022-04-27,11,19,32,34,34,13,14,8,29,21,15,11
2022-04-28,7,17,35,33,37,23,20,8,24,25,10,10
2022-04-29,23,15,26,28,30,64,10,6,23,23,11,4
2022-04-30,13,12,29,29,36,29,12,6,21,20,16,15
2022-05-01,24,13,34,49,42,23,20,5,24,22,21,14
2022-05-02,25,16,34,35,33,22,35,10,21,28,15,12
2022-05-03,31,19,39,32,27,34,45,9,19,19,16,7
2022-05-04,35,17,24,29,31,23,25,7,20,21,13,9
2022-05-05,8,12,24,33,29,41,25,5,21,17,15,7
2022-05-06,6,13,24,30,42,33,27,7,16,17,11,6
2022-05-07,21,14,20,22,22,23,24,6,14,18,10,2
2022-05-08,28,16,28,31,28,27,29,5,23,19,16,7
2022-05-09,38,15,31,35,36,29,98,5,18,29,14,7
2022-05-10,65,19,34,43,31,25,100,7,18,22,14,17
2022-05-11,25,21,41,38,47,25,53,9,27,26,12,10
2022-05-12,39,20,37,42,44,43,57,7,27,33,19,10
2022-05-13,23,15,27,38,28,23,14,4,19,19,14,6
2022-05-14,17,12,23,26,39,32,29,6,13,19,12,9
2022-05-15,35,16,28,35,38,42,41,4,14,21,14,11
2022-05-16,37,23,30,39,51,42,80,8,24,23,19,12
2022-05-17,23,18,28,36,30,30,43,8,27,22,18,11
2022-05-18,17,15,33,37,38,26,61,10,22,24,12,9
2022-05-19,14,10,24,36,32,28,37,6,23,26,23,10
2022-05-20,38,12,20,27,26,22,37,7,17,19,12,8
2022-05-21,30,11,20,28,29,28,27,4,10,18,13,9
2022-05-22,38,12,23,23,21,35,41,4,18,18,14,12
2022-05-23,25,15,27,32,22,11,63,7,20,20,11,12
2022-05-24,38,13,24,33,27,22,29,5,19,23,11,10
2022-05-25,66,11,26,30,27,34,76,6,25,17,12,6
2022-05-26,30,13,23,29,25,31,29,7,21,20,14,8
2022-05-27,35,13,24,29,27,48,43,7,18,24,19,10
2022-05-28,30,9,17,20,21,30,8,4,13,18,18,8
2022-05-29,15,15,24,25,30,42,22,4,18,13,12,5
2022-05-30,27,14,26,37,34,32,47,8,17,20,11,8
2022-05-31,28,13,20,25,28,30,12,7,15,18,14,5
2022-06-01,21,15,24,31,23,21,29,5,21,20,15,11
2022-06-02,25,14,23,40,27,41,39,6,20,18,18,12
2022-06-03,44,10,24,27,18,20,45,5,23,24,11,6
2022-06-04,14,11,23,28,25,25,20,5,20,19,13,10
2022-06-05,8,13,23,27,25,30,24,5,19,22,15,6
2022-06-06,10,13,31,37,30,30,41,6,20,22,10,9
2022-06-07,38,17,32,38,29,33,33,7,30,24,15,6
2022-06-08,34,14,26,31,38,30,24,6,23,22,9,7
2022-06-09,6,12,24,33,37,36,22,6,23,26,25,22
2022-06-10,28,8,24,22,23,18,51,5,25,21,9,8
2022-06-11,8,8,18,19,29,22,20,5,20,13,10,7
2022-06-12,21,17,20,27,19,18,24,6,17,17,14,4
2022-06-13,38,15,32,29,35,22,53,7,26,24,12,4
2022-06-14,34,17,34,29,23,33,43,9,23,22,12,5
2022-06-15,39,13,31,29,23,28,27,8,27,22,10,6
2022-06-16,34,11,29,36,31,29,25,5,20,17,12,6
2022-06-17,30,12,27,33,16,41,51,5,25,17,10,10
2022-06-18,18,12,19,31,33,34,6,4,18,14,12,9
2022-06-19,24,14,21,26,28,16,29,4,15,18,10,7
2022-06-20,20,13,25,31,28,26,39,6,20,20,12,8
2022-06-21,13,14,31,26,28,21,22,6,23,23,11,6
2022-06-22,21,16,29,25,18,33,18,7,18,15,9,6
2022-06-23,20,11,20,25,32,30,25,7,17,17,12,12
2022-06-24,13,10,19,28,18,15,6,5,16,16,13,5
2022-06-25,10,12,23,16,26,16,12,4,13,15,8,7
2022-06-26,25,15,17,24,23,20,8,4,18,14,9,6
2022-06-27,24,12,26,30,28,14,18,7,17,16,8,6
2022-06-28,7,12,25,28,33,22,25,7,29,20,10,9
2022-06-29,7,11,24,27,29,29,12,6,24,18,15,4
2022-06-30,11,8,22,16,23,19,16,5,17,15,13,11
2022-07-01,21,8,23,24,21,8,16,5,13,21,6,5
2022-07-02,7,10,18,23,19,16,12,3,14,14,7,3
2022-07-03,17,8,16,25,18,11,14,4,10,13,9,9
2022-07-04,10,10,22,23,22,15,24,6,15,16,12,6
2022-07-05,25,9,20,20,26,20,22,5,22,14,14,4
2022-07-06,23,10,18,20,23,13,27,4,19,12,16,10
2022-07-07,34,7,17,23,16,14,45,5,14,13,7,5
2022-07-08,25,5,7,12,13,6,41,2,6,8,2,3
2022-07-09,0,0,1,2,1,5,4,0,0,1,0,0
