네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 30대

"날짜","패션의류","패션잡화","화장품/미용"
"2022-03-01",59,65,14
"2022-03-02",49,56,13
"2022-03-03",46,52,12
"2022-03-04",41,47,11
"2022-03-05",47,53,11
"2022-03-06",60,63,13
"2022-03-07",49,54,13
"2022-03-08",43,48,11
"2022-03-09",54,57,12
"2022-03-10",45,49,11
"2022-03-11",45,48,10
"2022-03-12",54,55,10
"2022-03-13",67,67,12
"2022-03-14",55,59,13
"2022-03-15",52,55,12
"2022-03-16",53,56,12
"2022-03-17",48,53,12
"2022-03-18",42,48,11
"2022-03-19",49,54,10
"2022-03-20",59,61,11
"2022-03-21",51,55,12
"2022-03-22",49,53,12
"2022-03-23",47,50,12
"2022-03-24",42,46,10
"2022-03-25",38,44,10
"2022-03-26",46,50,10
"2022-03-27",58,59,11
"2022-03-28",49,55,12
"2022-03-29",48,51,11
"2022-03-30",46,50,11
"2022-03-31",42,47,10
"2022-04-01",39,43,10
"2022-04-02",43,46,9
"2022-04-03",56,57,11
"2022-04-04",51,55,13
"2022-04-05",50,53,12
"2022-04-06",47,51,12
"2022-04-07",43,48,11
"2022-04-08",38,43,10
"2022-04-09",42,46,9
"2022-04-10",56,57,12
"2022-04-11",58,56,13
"2022-04-12",59,56,13
"2022-04-13",51,55,12
"2022-04-14",43,50,11
"2022-04-15",38,44,10
"2022-04-16",42,49,9
"2022-04-17",55,60,12
"2022-04-18",49,57,13
"2022-04-19",49,53,13
"2022-04-20",47,52,12
"2022-04-21",43,50,12
"2022-04-22",36,43,10
"2022-04-23",41,47,9
"2022-04-24",56,60,12
"2022-04-25",52,56,13
"2022-04-26",53,56,13
"2022-04-27",48,54,12
"2022-04-28",44,50,12
"2022-04-29",35,44,10
"2022-04-30",38,48,10
"2022-05-01",52,62,13
"2022-05-02",45,57,14
"2022-05-03",41,53,13
"2022-05-04",36,46,11
"2022-05-05",43,54,11
"2022-05-06",40,50,12
"2022-05-07",42,52,11
