네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 60대이상

"날짜","패션의류","패션잡화","화장품/미용"
"2022-03-29",63,66,20
"2022-03-30",65,69,21
"2022-03-31",65,67,20
"2022-04-01",61,64,20
"2022-04-02",64,67,19
"2022-04-03",72,71,20
"2022-04-04",66,69,20
"2022-04-05",68,69,21
"2022-04-06",68,70,22
"2022-04-07",66,69,22
"2022-04-08",62,66,19
"2022-04-09",69,71,18
"2022-04-10",76,76,20
"2022-04-11",76,74,22
"2022-04-12",78,75,21
"2022-04-13",78,79,21
"2022-04-14",69,73,21
"2022-04-15",64,67,20
"2022-04-16",66,70,20
"2022-04-17",78,79,24
"2022-04-18",73,75,23
"2022-04-19",76,73,23
"2022-04-20",73,78,23
"2022-04-21",70,75,21
"2022-04-22",67,71,20
"2022-04-23",71,72,20
"2022-04-24",82,82,22
"2022-04-25",76,78,24
"2022-04-26",82,84,23
"2022-04-27",78,80,22
"2022-04-28",74,78,22
"2022-04-29",67,74,20
"2022-04-30",66,74,19
"2022-05-01",76,85,24
"2022-05-02",68,77,24
"2022-05-03",69,75,23
"2022-05-04",67,74,22
"2022-05-05",78,84,22
"2022-05-06",67,77,22
"2022-05-07",71,82,21
"2022-05-08",76,86,22
"2022-05-09",64,76,22
"2022-05-10",67,75,22
"2022-05-11",72,79,23
"2022-05-12",73,78,24
"2022-05-13",72,76,22
"2022-05-14",70,82,20
"2022-05-15",76,95,25
"2022-05-16",78,91,25
"2022-05-17",77,84,25
"2022-05-18",77,87,23
"2022-05-19",72,85,23
"2022-05-20",71,75,21
"2022-05-21",72,77,21
"2022-05-22",83,90,22
"2022-05-23",76,85,22
"2022-05-24",77,85,23
"2022-05-25",79,83,23
"2022-05-26",72,84,22
"2022-05-27",68,79,21
"2022-05-28",73,81,20
"2022-05-29",77,89,21
"2022-05-30",71,88,22
"2022-05-31",69,84,20
"2022-06-01",77,90,23
"2022-06-02",66,80,22
"2022-06-03",66,80,21
"2022-06-04",71,84,21
"2022-06-05",80,98,21
"2022-06-06",75,94,24
"2022-06-07",65,84,22
"2022-06-08",65,84,23
"2022-06-09",67,82,21
"2022-06-10",62,79,20
"2022-06-11",65,80,20
"2022-06-12",71,87,22
"2022-06-13",69,84,22
"2022-06-14",68,85,23
"2022-06-15",65,82,22
"2022-06-16",61,78,22
"2022-06-17",58,76,20
"2022-06-18",63,76,19
"2022-06-19",69,80,21
"2022-06-20",69,78,22
"2022-06-21",67,76,21
"2022-06-22",71,77,20
"2022-06-23",67,80,20
"2022-06-24",63,78,19
"2022-06-25",63,76,19
"2022-06-26",71,85,21
"2022-06-27",68,84,22
"2022-06-28",69,79,22
"2022-06-29",69,80,21
"2022-06-30",64,83,19
"2022-07-01",63,75,19
"2022-07-02",69,78,19
"2022-07-03",74,86,21
"2022-07-04",73,84,22
"2022-07-05",71,79,21
"2022-07-06",73,81,21
"2022-07-07",68,78,20
"2022-07-08",62,73,18
"2022-07-09",65,76,17
